smiles	MW	LogP	TPSA	HBA	HBD	RotB
CC(CC(N)CC(=O)N1CCCC1)C(=O)NCc1cccc(Cl)c1	351.171	2.322	75.430	3.000	2.000	7.000
CN(Cc1ccccc1)C1CCC(C(N)CN2CCC(N)CC2=O)CC1	358.273	1.954	75.590	4.000	2.000	6.000
CCNc1cc(NC2=C(CC)C(NC)C=CC(F)=C2F)n(C(C)C)n1	351.223	4.280	53.910	5.000	3.000	7.000
CC(=O)OC1CC(N)C(C(C)C(N)Cc2ccc(F)cc2)CC1c1ccccc1	398.237	3.784	78.340	4.000	2.000	6.000
COc1cc(C(N)=CCc2c(C)cccc2CN)ccc1-c1ccc[nH]1	347.200	4.000	77.060	3.000	3.000	6.000
CC#CCn1cc(NCC(=O)OCc2ccccc2)cc1C1CCC(N)CC1	379.226	3.652	69.280	5.000	2.000	7.000
CCCn1c(C(N)CC)nc2cc(-c3cccc(CCC(F)F)c3)cnc21	372.213	5.116	56.730	4.000	1.000	8.000
CS(=O)c1ccccc1CNC1CCC(NC(=O)CC(F)F)CC1	358.153	2.596	58.200	3.000	2.000	7.000
O=C(O)Cc1ccc(C=Cc2ccc(CN3CCCCC3)cc2)cc1O	351.183	4.176	60.770	3.000	2.000	6.000
COc1ccc2ccnc(c(N)c1)C(N)CCCC(c1ccccc1)C2	349.215	4.307	74.160	4.000	2.000	2.000
CC(N)C(C)C(C)C(C)(C)CC(N)CC(=O)N1CC2CCC1C2(C)C	351.325	3.387	72.350	3.000	2.000	7.000
CC(=O)N(c1cccc(F)c1)C1CCCNC(=O)CC1CC(F)CF	356.171	3.161	49.410	2.000	1.000	5.000
CC(=O)N1Cc2cccnc2C(CCc2ccccc2)C(CCCN)C1	351.231	3.515	59.220	3.000	1.000	6.000
NC(CC(=O)c1ccc(CNC(=O)NC2CCCC2)cc1)CC1CCCC1	371.257	3.909	84.220	3.000	3.000	8.000
COc1cccc(NC2CCCNC2C(=O)CCC(C)C)c1Cc1ccccc1	394.262	4.824	50.360	4.000	2.000	9.000
CNc1cc(N2CCN(C(C)C(=O)NC3CC3)CC2)ccc1C(C)(C)C	358.273	2.815	47.610	4.000	2.000	5.000
NC(CC1CC1)C(=O)N1CCc2cn(CC(=O)NCc3ccccc3)cc21	366.206	1.821	80.360	4.000	2.000	7.000
NC(CC(=O)C(c1ccc(F)cc1)c1cccc(F)c1)C(N)Cc1ccccc1	394.186	3.953	69.110	3.000	2.000	8.000
CC(C)(CO)NCC1CC1CNC(=O)C1CCCC1(C)C(F)(F)F	350.218	2.468	61.360	3.000	3.000	7.000
O=C(NCCC(Cc1ccccc1)C(=O)c1ccc(F)cc1)Nc1ccccc1	390.174	5.079	58.200	2.000	2.000	8.000
CC(C)CC(NC(=O)C1CC2CCC(N)CC(CC2)C1)C(=O)N(C)C	351.289	2.539	75.430	3.000	2.000	5.000
CC#CCNC1CC2CCCN2C1CC(N)Cc1cc(F)ccc1CC	357.258	2.866	41.290	3.000	2.000	7.000
CC(N)Cc1ccc(CC(F)c2ccc(N3CCC(N)CC3)cc2)n1C	358.253	3.096	60.210	4.000	2.000	6.000
CCCNC(=O)C(c1ccccc1)N(C)C(=O)Cc1ccc(Cl)cc1	358.145	3.608	49.410	2.000	1.000	7.000
CNC(CC(=O)N1CCC(N2CCC(N)CC2)C(C)C1)C(C)(C)C	338.305	1.671	61.600	4.000	2.000	4.000
CCC1CC(NC(=O)CC(N)Cc2cc(F)ccc2F)CCC(C)(C)C1	366.248	4.336	55.120	2.000	2.000	6.000
NC(CC(=O)N1CCC(C2=CC(F)C=C2)CC1)C1CCC2CCC(F)CN21	379.244	2.742	49.570	3.000	1.000	4.000
NCC1(CCN2CCC(N)C2)CCC1C(N)Cc1ccccc1	316.263	1.335	81.300	4.000	3.000	7.000
Cc1ccc(CC(Nc2ccc3cccnc3c2)C(=O)N2CCNCC2)cc1	374.211	2.998	57.260	4.000	2.000	5.000
CCN(CCCN1CCNCC1)c1ccc(N)cc1-c1cccc(C2=CC=C2)c1	388.263	4.011	44.530	4.000	2.000	8.000
Nc1ccc2c(c1)N=C1CCNC(Cc3ccc(F)cc3)CNC1=CC=C2	362.191	3.585	62.440	4.000	3.000	2.000
Cc1c(CC(F)(F)F)cc(NCCC2CC2)nc1-c1ccc(C(N)=O)cc1	377.171	4.473	68.010	3.000	2.000	7.000
CC(C1CCNC1)N1CCCC1CNS(=O)(=O)Cc1cccc(F)c1	369.189	1.708	61.440	4.000	2.000	7.000
CN(C)C(=O)C(C=NC1CCC(F)C1)c1ccc(NCc2ccccc2)cc1	381.222	4.432	44.700	3.000	1.000	7.000
C#CC(=O)C1CCCC1CNC(=O)CC1CCC(NCC2CC2)CC1	344.246	2.670	58.200	3.000	2.000	8.000
Cc1ccc(C(Cc2ccc(NCC(=O)O)cn2)c2ccccc2)cc1	346.168	4.261	62.220	3.000	2.000	7.000
CNC(=O)C1Cc2ccc(F)cc2CC(=O)CC(=O)N2CCCC1CC2	360.185	1.874	66.480	3.000	1.000	1.000
CC1=C(C)C(c2ccc(C(F)CF)cc2Cl)N=C(C(C)C(C)N)S1	372.124	5.784	38.380	3.000	1.000	5.000
CNC(=O)Cc1c(CC(=O)CF)ccc(N)c1Cc1ccc(C)cc1C	356.190	2.846	72.190	3.000	2.000	7.000
CC(C)NC(Cc1cc(C(N)=O)ccc1F)C(=O)NCC1CCCC1	349.217	2.140	84.220	3.000	3.000	8.000
CCC(N)C1C(=O)N(CC2CC2)CC(NC(C)C)CN1C1CCCC1	350.305	1.956	61.600	4.000	2.000	7.000
CC(C)Oc1cc(C(N)=O)c(Br)cc1CNCC1CC1	340.079	2.835	64.350	3.000	2.000	7.000
CNC(C(=O)c1ccc(NS(=O)[O-])cc1)C1CCC(Cc2ccccc2)C1	385.159	3.322	81.260	4.000	2.000	8.000
NC(CCCC(=O)NN1CCCCC1c1cccc(F)c1)c1ccccc1	369.222	4.254	58.360	3.000	2.000	7.000
CN(NCC(=O)O)C1CCC(C(N)Cc2cc(F)ccc2F)CC1	341.191	1.914	78.590	4.000	3.000	7.000
NCc1c(-c2ccn(CC(N)c3ccc(F)cc3)c2)cccc1C(F)(F)F	377.152	4.472	56.970	3.000	2.000	5.000
CC1CC(c2cc(CC(N)Cc3ccccc3Cl)c(F)cn2)C(=O)O1	362.120	3.406	65.210	4.000	1.000	5.000
CC(C(N)C(=O)NC(C)C(F)(F)F)N(C)Cc1ccc(F)c(F)c1	353.153	2.179	58.360	3.000	2.000	6.000
CCN(CC1CN(C(=O)CCC(N)Cc2cccc(F)c2)CO1)C(C)C	365.248	2.391	58.800	4.000	1.000	9.000
COC1=CC(S(=O)(=O)Nc2ccc(C3CCCC3)cc2)C=CC=C1	345.140	4.111	55.400	3.000	1.000	5.000
CC1C(=O)NN(C)CCC2=C1N(CCCNCc1ccccc1)C=CC2	354.242	2.643	47.610	4.000	2.000	6.000
CC(=O)CC(N)C(C)Nc1cc(-c2ccncc2)cc(C(F)(F)F)c1	351.156	3.874	68.010	4.000	2.000	6.000
CC1(C)Cn2c(CCC3CCC(NCC(=O)O)CC3)cc(F)c2CN1	351.232	2.675	66.290	4.000	3.000	6.000
CCNC(=O)C(N)N(Cc1ccc(-c2ccccc2)c(F)c1)C(C)C	343.206	3.124	58.360	3.000	2.000	7.000
CN(C)C1CC(C(N)Cc2ccccc2)CCN1C(=O)CC(F)F	339.212	2.338	49.570	3.000	1.000	6.000
CC(NC(=O)C(N)CCC(=O)N1CCCC1CC1CC1)c1ccccc1	357.242	2.762	75.430	3.000	2.000	8.000
CC(CCN(C)C(=O)Cc1cc(F)cc(F)c1)C(=O)N1CCCC1C	352.196	3.003	40.620	2.000	0.000	6.000
CCC1CC(NS(C)(=O)=O)CCC1C(Cc1cccc(F)c1)NC	356.193	2.700	58.200	3.000	2.000	7.000
COCC1=C(C(N)=O)C=CC(C(N)Cc2cc(F)ccc2F)C1C	336.165	2.085	78.340	3.000	2.000	6.000
NC1C(=O)N(Cc2ccco2)CC1CC(F)c1cccc(F)c1F	338.124	2.944	59.470	3.000	1.000	5.000
CCC(CF)C(N)C1=CC(CN)N=C(c2ccc(F)cc2F)C=C1	337.177	2.900	64.400	3.000	2.000	6.000
CC(c1ccc(NCc2ccccc2)cc1)C1CCN(C2CCN2)C1=O	349.215	3.570	44.370	3.000	2.000	6.000
COC1CCN(C(=O)Cc2ccc(CCC(C)C)cc2C2CCCN2)C(=O)C1	386.257	3.406	58.640	4.000	1.000	7.000
CCCN(C(=O)C1CCNCC1)S(=O)(=O)c1cccc(CCCF)c1	370.173	2.516	66.480	4.000	1.000	8.000
NC(c1nc[nH]n1)C1CCCC(N(CCF)Cc2ccccc2)C1	331.217	2.835	70.830	4.000	2.000	7.000
CC1=CSC(NC(=O)CC(N)C(c2ccccc2)C(F)(F)F)C1C	358.133	3.779	55.120	3.000	2.000	5.000
CC1CC2CCCC(CNC(=O)C1O)C(CC1CC1)NC(=O)CN2	337.237	0.547	90.460	4.000	4.000	2.000
NC(c1cc(F)ccc1F)N1CCNC(CCC(=O)N2CCCC2)C1	352.207	1.598	61.600	4.000	2.000	5.000
NC(Cc1ccccc1)CC1C(=O)CN1C=Cc1cc(-c2ccccc2)[nH]n1	372.195	3.261	75.010	4.000	2.000	7.000
CCCc1nc(-c2ccccc2N(C)C)c(CN)c(CN)c1CC1CC1	352.263	3.637	68.170	4.000	2.000	8.000
NCC1=C(C(=O)Nc2cccnc2)c2ccc(OCC3CC3)cc21	321.148	2.692	77.240	4.000	2.000	6.000
C#CC(C1CCC(CN)C1)C(CC(=O)NC1CCCC1)c1ccccc1	352.251	3.844	55.120	2.000	2.000	7.000
NC(CC(=O)N1CCC(F)C1)NCc1ccc(Cc2ccccc2)nc1	356.201	2.007	71.250	4.000	2.000	7.000
NC1CCCN(c2cc(C(N)Cc3cc(F)ccc3F)n[nH]2)C1	321.177	1.858	83.960	4.000	3.000	4.000
CCC(N)CC(=O)N1CCCC1C(=O)N(CC)C(C)Cc1ccccc1	359.257	2.585	66.640	3.000	1.000	8.000
COCCc1cnc(Cc2cccc(C(N)=O)c2)cc1Cc1ccccc1	360.184	3.551	65.210	3.000	1.000	8.000
NC(c1cc(NC(=O)CCN2CCCC2)c(F)cc1F)C(F)(F)F	351.137	2.951	58.360	3.000	2.000	5.000
CC1C(=C2Cc3ccccc32)CNC(CNc2ccccc2)CN1C(=O)O	363.195	3.449	64.600	3.000	3.000	3.000
N#Cc1cccn1CCNC(=O)Cc1ccccc1CC(F)(F)F	335.125	2.823	57.820	3.000	1.000	6.000
COC1=CC(C=C2C(CC(C)C)=C(C(C)C)C(N)C(C(C)C)=NC2C)=N1	357.278	4.680	59.970	4.000	1.000	6.000
CCC(=O)CNC1(C(=O)C=CN2CCC(C)C(CC)C(C)C2C)CC1	348.278	3.563	49.410	4.000	1.000	8.000
CN(C)C(CC(=O)NCC(Nc1ccccc1)c1ccccc1)C(F)(F)F	379.187	3.839	44.370	3.000	2.000	8.000
NC(Cc1c[nH]cn1)C(CN1CCC(F)C1)c1ccc(F)cc1Cl	354.142	2.900	57.940	3.000	2.000	6.000
CCC(c1ccc(CC(=O)Cc2ccc(Br)cc2)cc1)N(O)O	377.063	4.335	60.770	4.000	2.000	7.000
CC(C)CCC(NC1CCCc2ccccc21)C(=O)N1CCCCC1N	357.278	3.756	58.360	3.000	2.000	6.000
C[N+]1(C)CCC1c1ccc(NCCC(N)Cc2ccccc2)cc1CN	353.270	3.038	64.070	3.000	3.000	8.000
CC(C)CN1CCC(C(N)CC(C)(C)C(=O)NC2CCCC2)CC1	337.309	3.157	58.360	3.000	2.000	7.000
CC1CCCC(N(CCc2cccc(F)c2)S(=O)(=O)N(C)C)C1	342.178	3.055	40.620	2.000	0.000	6.000
CCC(c1ncc[nH]1)C1CCC(C(N)Cc2cccc(F)c2)CC1	329.227	4.419	54.700	2.000	2.000	6.000
NC1CCCCC(NCC2CCN(CCNC3CCCCC3)CC2)C1	350.341	2.870	53.320	4.000	3.000	7.000
CCC1CN2CCC(NCCc3cc[nH]c3)CC2CC1C(=O)N1CCC1	358.273	2.258	51.370	3.000	2.000	6.000
CCC(=O)Nc1ccc(CN2CCN(CCC3CCNCC3)CC2)cc1	358.273	2.542	47.610	4.000	2.000	7.000
CCC1CC(CC(N)CCc2ccc(-c3ccccc3)cc2)C(=O)N1	336.220	3.918	55.120	2.000	2.000	7.000
CC#CC1CN(C)CCN1C(=O)CC(N)CCCc1cccc(Cl)c1	361.192	2.546	49.570	3.000	1.000	6.000
NCC1CCC(Cc2ccc(NC(=O)c3ccccc3F)cc2F)C1	344.170	4.135	55.120	2.000	2.000	5.000
CNC(=O)C(Nc1ccc(Br)cc1)C(C)NCC(C)(C)C	355.126	3.000	53.160	3.000	3.000	6.000
COC(=O)C(NCCc1cccn1Cc1ccc(OC)cc1)C1CC1	342.194	2.629	52.490	5.000	1.000	9.000
NCCCc1c(N)nc(CCC(F)F)c2ccc(Br)cc12	357.065	3.669	64.930	3.000	2.000	6.000
CS(C)(CCC(N)c1ccccc1)CC(=O)NCc1cc(F)ccc1F	380.173	3.735	55.120	2.000	2.000	8.000
CNCCC(c1ccccc1)N1CCC(C(N)CC(=O)C(F)(F)F)CC1	371.218	2.898	58.360	4.000	2.000	8.000
CN(C(=O)Cc1ccccc1)C1CCC(N2CCC(N)C(C)(C)CC2)C1	357.278	3.058	49.570	3.000	1.000	4.000
NC(CC(=O)N1CCCC1C(=O)NCCCl)Cc1ccccc1F	355.146	1.432	75.430	3.000	2.000	7.000
NC(CC(=O)C(F)(F)F)CN1CCCC1Cc1cccnc1	315.156	1.937	59.220	4.000	1.000	6.000
NC(NCc1ccc(F)cc1F)C(=O)C1CCC(N2CCCC2)CC1	351.212	2.563	58.360	4.000	2.000	6.000
CS(C)(C)CC(Cc1ccccc1)C(=O)C(N)C(=O)N1CCCC1	350.203	2.058	63.400	3.000	1.000	7.000
O=C(O)COC1=CC=CC(NC2CCN(Cc3cccc(F)c3)CC2)C=C1	372.185	2.859	61.800	4.000	2.000	7.000
CN(C)C(CC(N)C(=O)N1CCSC1Cc1ccccc1)C(F)(F)F	375.159	2.341	49.570	4.000	1.000	6.000
NC(c1ccc(-c2cccc(NC(F)F)c2)nc1)C(F)CF	313.120	3.691	50.940	3.000	2.000	6.000
NC1CC(NCC2CCNCC2)CCC1C(=O)NCC1CCCCC1	350.305	1.768	79.180	4.000	4.000	6.000
CCC(N)CC(C1=CC=C(N2C=CN(C)CC2)CC1=O)c1ccccc1	351.231	3.399	49.570	4.000	1.000	6.000
CN(NCc1cc(F)ccc1F)C1CCCC(C2(C)CCC2)C(N)CC1	365.264	4.368	41.290	3.000	2.000	5.000
CN1CCCN1C(=O)NCC1CCNCC1CN(CC1CC1)CC(F)(F)F	391.256	1.748	50.850	4.000	2.000	7.000
CC(C)CC(=O)N1CCC(NC(=O)N(Cc2ccccc2)C(C)C)CC1	359.257	3.644	52.650	2.000	1.000	6.000
CC(C(=O)NCc1ccc(-c2ccccc2)c(F)c1)C(N)C(=O)N1CCC1	369.185	2.305	75.430	3.000	2.000	6.000
COC(=O)c1ccc(C(C)NC(=O)CC2=CC=C(CN)CC2)cc1	328.179	2.646	81.420	4.000	2.000	6.000
CCCNC(=O)C1CC(C)N(CC(C)c2ccc(N3CCCC3)cc2)C1	357.278	3.627	35.580	3.000	1.000	7.000
O=C(Cc1ccccc1)NC1CNC(=O)C(=O)C(CC(F)(F)F)C1	342.119	1.371	75.270	3.000	2.000	4.000
CC(C)CC(CCC(N)c1ccccn1)C(=O)N1CCCCCCC1	345.278	4.317	59.220	3.000	1.000	7.000
COC1CCC(N2CCC(NCCN3CCC(N)CC3)CC2)CC1C	352.320	1.667	53.760	5.000	2.000	6.000
CC(C)NCCN1C(=O)NCC1c1ccc(OCC(F)CF)cc1F	359.182	2.576	53.600	3.000	2.000	9.000
CCC(N)Cc1cccc(C2CCN(C(=O)C(C)CN)C(CC)C2)c1	345.278	3.046	72.350	3.000	2.000	7.000
CC(CCN(C)c1ccccc1F)NC(=O)C(c1ccccc1)C(C)N	357.222	3.288	58.360	3.000	2.000	8.000
O=C(NCc1ccccc1F)NS(=O)(=O)CCCc1ccccc1	350.110	2.588	75.270	3.000	2.000	7.000
O=C(C(NC(=O)C(F)(F)F)c1ccc[nH]1)N1CCC(CCF)CC1	349.141	2.333	65.200	2.000	2.000	5.000
CC(C)CC1=CC=C2C=CC=C2C1CC(N)C(=O)C1CCC(NCCF)C1	372.258	4.026	55.120	3.000	2.000	9.000
CN(C)CCNC(=O)CN1CCC(C(N)Cc2ccccc2F)CC1	350.248	1.085	61.600	4.000	2.000	8.000
CC(C)N(CC(O)CNc1cccc2ccccc12)C(=O)N1CCCC1	355.226	3.539	55.810	3.000	2.000	6.000
Cn1cc(-c2cccnc2)cc1CCC(N)Cc1cc(F)ccc1F	341.170	3.868	43.840	3.000	1.000	6.000
NC(CC(=O)O)Cc1ccc2c(c1)CCC2NC1CC(=O)C(C2CC2)C1	356.210	2.366	92.420	4.000	3.000	7.000
CCN1C(=O)C(=O)N(Cc2ccc(CC(C)C)cc2)C1Cc1c[nH]cn1	354.206	2.368	69.300	3.000	1.000	7.000
CN(C(=O)NCc1ccccc1)C1CCCN1C(=O)CCC1CCNCC1	372.253	2.556	64.680	3.000	2.000	6.000
CC1C(C(=O)NCc2ccccc2F)CCC(N)CC1C(=O)N1CCC1	361.217	2.054	75.430	3.000	2.000	4.000
O=c1[nH]cc(CNCc2ccc(Nc3ccccc3)cc2)cc1CO	335.163	2.901	77.150	4.000	4.000	7.000
CN1C(=O)CCN1C(=O)CN(CC(F)CCF)C(F)(F)C1=CC=C(F)C1	381.148	2.368	43.860	3.000	0.000	8.000
Cc1ccc(COCC(C)(C)NCC(=O)N2CCC(F)CC2C)cc1	350.237	3.229	41.570	3.000	1.000	7.000
C#CCN1CC(CCC2CCC(NCC(=O)N3CCCC3)C2)C1CC(C)N	374.305	1.818	61.600	4.000	2.000	9.000
NC1CCN(C2CCN(CC(N)c3ccccc3)C=C2Br)CC1	378.142	2.420	58.520	4.000	2.000	4.000
Cc1ccc(CC(Nc2nc3cc(F)c(F)cc3[nH]2)C(C)CN)cc1	344.181	3.768	66.730	3.000	3.000	6.000
Cn1c(CN2CCCCC2C(=O)NCCC2CC2)cnc1C(F)(F)F	358.198	2.710	50.160	4.000	1.000	6.000
CCC(=O)CN1CCN(c2ccc(-c3ccccc3)c(F)c2)C(=O)C(C)C1	368.190	3.757	40.620	3.000	0.000	5.000
NC(CCOc1ccc(N2CCOCC2)cc1)Cc1ccccc1F	344.190	3.001	47.720	4.000	1.000	7.000
NC(CO)=C(CC(F)(F)F)SCN1CCC(c2ccccc2)CC1	360.148	3.672	49.490	4.000	2.000	6.000
CCC1=Nc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2CCN1CC	356.156	4.075	49.740	4.000	0.000	4.000
O=C(C(O)C(CO)Cc1ccccc1)N1CCC(c2ccccc2)CC1	353.199	2.605	60.770	3.000	2.000	6.000
CCC(N)c1ccc(N2N=C(C(CC)C(C)N)CC(C)(C)C2C)cc1F	362.285	4.590	67.640	4.000	2.000	6.000
NC1CCCC(CC(C(=O)c2ccccc2)C(=O)N2CCCCC2)C1	342.231	3.406	63.400	3.000	1.000	5.000
CCNc1cc(C2CCN(c3ccc(C)cc3)CC2N)cc(F)c1F	345.202	4.026	41.290	3.000	2.000	4.000
NC1CC2=C(CC(C(=O)Nc3ccncc3)CC2)C(c2ccccc2)C1	347.200	4.022	68.010	3.000	2.000	3.000
CNC(Cc1cc(N)ccc1F)CC1CCC(=O)C(N(C)C(C)C)C1	349.253	3.007	58.360	4.000	2.000	7.000
CC(C)CN(CC(=O)N1CCCC1N)C1CCCN1CC1CCCCC1	364.320	2.854	52.810	4.000	1.000	7.000
Cc1cccnc1CC1(C)CCC(N)CC(C(N)Cc2ccccc2)C1	351.267	4.026	64.930	3.000	2.000	5.000
CC(C(=O)Nc1cccc(Br)c1)C(CN)CCc1ccccc1	374.099	4.231	55.120	2.000	2.000	7.000
CCC(N)CCC(=O)c1ccc(Nc2cccc(F)c2)cc1Cl	334.125	4.923	55.120	3.000	2.000	7.000
CCc1ccc(CCC2=CC(=O)NCC(C(=O)NCC(F)F)N2C)cc1	365.191	1.877	61.440	3.000	2.000	7.000
CC(CN)C(C)NC(=O)C(c1ccc(N)cc1)c1ccc(F)cc1	329.190	2.639	81.140	3.000	3.000	6.000
NCCc1cccc2ccc(NS(=O)(=O)C(F)c3cccc(F)c3)cc12	376.106	3.890	72.190	3.000	2.000	6.000
CC(CN1CCC(N)C1)NCc1cc(F)c(F)cc1CNCC(F)F	362.209	1.831	53.320	4.000	3.000	9.000
Cc1ccc(CCNCc2ccccc2NC(=O)N2CCCC2C#N)cc1	362.211	3.847	68.160	3.000	2.000	6.000
CC(C)=CN1CCC(NCC(Cc2ccccc2)c2ccccc2)C(=O)N1	363.231	3.632	44.370	3.000	2.000	7.000
NC1C(=O)N(c2ccccc2)C(c2ccc(F)cc2)CCN1CCC(F)F	377.171	3.546	49.570	3.000	1.000	5.000
CC#CCc1ccc(NC2CCN(C(=O)CC(N)CC(F)(F)F)CC2)cc1	381.203	3.325	58.360	3.000	2.000	6.000
CN(CCC(=O)N1CCCCC1Cc1cccc(C(=O)O)c1)C1CCC1	358.226	3.183	60.850	3.000	1.000	7.000
CC(C=O)NC(=O)CCCN(C)C(=O)c1ccc2c(c1)Cc1ccccc1-2	364.179	2.814	66.480	3.000	1.000	7.000
C=CC(=O)Cc1ccc(NC(=O)CC2(CCN)CCC(C)(C)C2)cc1	342.231	3.858	72.190	3.000	2.000	8.000
COc1ccc(CC(N)C(=O)c2ccc(C(F)(F)F)cc2)cc1OC	353.124	3.475	61.550	4.000	1.000	6.000
Cc1cccc2c1C(CCC(N)Cc1cc(F)c(F)cc1F)C(N)C2=O	362.161	3.370	69.110	3.000	2.000	5.000
CC1=CC=C(C2CNC3CCCN2C(=O)CC(N)CC(C)CC(F)C3)C1	363.269	3.088	58.360	3.000	2.000	1.000
CCC(F)C1=NC(CCC(N)Cc2cc(F)ccc2F)C(=O)N1CC	355.187	2.992	58.690	3.000	1.000	8.000
CC(C)CC(=O)N1CCNCC1CCN(CC(C)C)C(=O)CC1CC1	351.289	2.508	52.650	3.000	1.000	9.000
CC(N)CN(C)C1C=CC(C2=CC(N)=C(CN)Cc3ccccc32)CCC1	366.278	2.802	81.300	4.000	3.000	5.000
CC(=O)NC1CC(C)CNC(CCCCC(=O)N2CCCCC2)C1C	351.289	2.698	61.440	3.000	2.000	6.000
CC=C1c2cc(OCCF)c(Br)cc2NC(CN)C1CNC	371.101	2.789	59.310	4.000	3.000	6.000
CN(CCCC(=O)N1CCCC1)C(=O)c1csc(N)c1C(C)(C)C	351.198	3.102	66.640	4.000	1.000	5.000
CCC(N)C(C)C1=NC(C2=CC=CC=C(Cl)C=C2C(F)(F)F)C=C1	356.127	4.847	38.380	2.000	1.000	4.000
CCN1CCC(CCc2nc(-c3ccc(OC(C)C)cc3)n[nH]2)CC1	342.242	3.923	54.040	4.000	1.000	7.000
CC(C)NCc1ccc(CCNC(=O)Cc2ccc(F)c(F)c2)n1C	349.197	2.703	46.060	3.000	2.000	8.000
COc1ccc(CNC(=O)CC(N)Cc2c(F)cccc2F)c(C)c1	348.165	2.858	64.350	3.000	2.000	7.000
CN(CC1CCC(C(N)CCCCF)C1)C(=O)Cc1csc(O)c1	356.193	3.338	66.560	4.000	2.000	9.000
NC1CCCN(CCCC(=O)Cc2c[nH]cc2-c2cc(F)ccc2F)C1	361.197	3.275	62.120	3.000	2.000	7.000
CC(CC(=O)NO)NC(C)C(=S)N1CCC(c2cccc(F)c2)CC1	367.173	2.595	64.600	4.000	3.000	6.000
CC1=C(C(F)(F)F)CC(N(C)C(=O)NCCN)C=C1CN(C)C	334.198	1.726	61.600	3.000	2.000	5.000
CC1CCC(N2CCN(C(=O)CNCc3ccccc3)CC2)CC1C	343.262	2.745	35.580	3.000	1.000	5.000
CC(C(=O)NCCc1ccccc1)N(C)C(=O)N1CCCC1CC(F)F	367.207	2.905	52.650	2.000	1.000	7.000
CC(C)C1CC(Cc2cc(F)ccc2CN)N(CCC2CCC(N)C2)C1	361.289	3.691	55.280	3.000	2.000	7.000
