smiles	MW	LogP	TPSA	HBA	HBD	RotB
CC(O)C1=C(C(=O)NCCc2c[nH]cn2)CC(c2ccc(Cl)c(Cl)c2)C1c1ccccc1	469.132	5.024	78.010	3.000	3.000	7.000
CCc1cccnc1-c1cc(CN2CCC(F)(F)CC2CN)c[nH]1	334.197	3.198	57.940	3.000	2.000	5.000
Oc1ccc(N2CCC(CCCN3CCCCC3)CC2)cc1	302.236	3.875	26.710	3.000	1.000	5.000
CN1CCN(c2cccc(Nc3cc(-c4ccccc4)ccc3F)c2)CC1	361.195	4.988	18.510	3.000	1.000	4.000
CC1CN(C)N(C(=O)NC2C3CCC4CC(C3)CC2C(C)C4)C1	319.262	3.345	35.580	2.000	1.000	1.000
Clc1ccccc1N1CCC(Oc2ccc(Br)cc2)c2ncccc21	414.013	6.159	25.360	3.000	0.000	3.000
CCCCNc1cc(-c2ccc(F)c3c(N)cccc23)ccc1C(F)(F)F	376.156	6.459	38.050	2.000	2.000	5.000
CCN(CCN)C(=Cc1ccccc1)c1ccc(Br)c(Cl)c1	378.050	4.881	29.260	2.000	1.000	6.000
CC(C)N1CCN(C(=O)N2CCCC3=CC(C#Cc4ccc(Cl)c(Cl)c4)=C3C2)CC1	443.153	4.823	26.790	2.000	0.000	1.000
O=C(O)c1ccccc1N1CC2CCC(C1)N(C(F)(F)F)C2	314.124	2.805	43.780	3.000	1.000	2.000
CC(=O)NCCC(C)(C)C1CC2NN(C(=O)Nc3c(F)cc(F)c(F)c3Cl)CCC21	446.170	4.057	73.470	3.000	3.000	5.000
Cc1cc2c(cc1CCCc1ccnc(N)c1Cl)CCC2	300.139	4.290	38.910	2.000	1.000	4.000
CN(CC1=CNC2=NC=C(c3cccc(Cl)c3)C1C2)Cc1ccccc1	363.150	4.718	27.630	3.000	1.000	5.000
CNC1CCC(OCc2cc(F)c(F)c(F)c2)C2CC1C(C)(C)C2	341.197	4.423	21.260	2.000	1.000	4.000
CC(C)(O)CCN1CCC(C(=O)N2CCC(C(F)(F)F)c3ccc(C(F)(F)F)cc32)CC1	466.205	4.961	43.780	3.000	1.000	4.000
Fc1cccc(-c2c[nH]c(CNc3ccc(Br)cc3)n2)c1	345.028	4.590	40.710	2.000	2.000	4.000
COc1cccc2c1CCC(NCCN1CCCCC1)C2=CC1CC1	340.251	3.879	24.500	3.000	1.000	6.000
COC1CC2CC(=O)C1CN2C(C)(C)c1ccc(-c2ccc(Br)cc2)cc1	427.115	5.030	29.540	3.000	0.000	4.000
Cc1cccc2cc(-c3ccc(C4CCCN4CCCF)nc3)[nH]c12	337.195	5.035	31.920	2.000	1.000	5.000
NC(CC1CC1C(F)F)CN1CCCCC2CCCCC21	300.238	3.650	29.260	2.000	1.000	5.000
Cc1ccc(C(=O)c2ccccc2C(=O)NCC(F)(F)F)cc1	321.098	3.518	46.170	2.000	1.000	4.000
CC(O)(c1cccc(C(F)(F)F)c1)c1ccc(CC(N)C2CCC(O)CC2)cc1Br	485.118	5.145	66.480	3.000	3.000	5.000
Nc1ccccc1CC(CCN1CCNCC1)c1ccc2ccccc2c1	359.236	4.044	41.290	3.000	2.000	6.000
Oc1ccc2c(c1)NCC2(Cc1ccccc1)Nc1ccccc1Br	394.068	5.130	44.290	3.000	3.000	4.000
CC(=O)NCC(C)(C)C1=CN=C(c2ccc(-c3cccc(F)c3)cc2)C1C	364.195	4.978	41.460	2.000	1.000	5.000
CC(=O)N1CCC(=O)C2=C1C=CN(c1ccc(-c3ccc(Cl)cc3)cc1)CC2	392.129	4.806	40.620	3.000	0.000	2.000
CN1CCCCC1NC(=O)NCC1(C(=O)NCc2ccccc2)Cc2cccc(Cl)c21	440.198	3.191	73.470	3.000	3.000	6.000
OCc1cc(-c2cccc(Cc3cc(F)ccc3F)c2)ccc1NC1CC1	365.159	5.289	32.260	2.000	2.000	6.000
NC1CCN(c2ncccc2N2CCCc3cc(CN4CCC(F)(F)C(F)C4)ccc32)CC1	459.261	4.273	48.630	5.000	1.000	4.000
COc1cc(CCN2CCc3cc(O)ccc32)cc2ccccc12	319.157	4.159	32.700	3.000	1.000	4.000
CC(C)=Cc1ccc(C(=CC(C)C)C2CCN(C)C(=O)C2)cc1	311.225	5.018	20.310	1.000	0.000	4.000
CN(c1ccc(C(N)CC(N)C(=O)Nc2cccc(C(F)(F)F)c2)c(Cl)c1)C1CC1	440.159	4.313	84.380	4.000	3.000	7.000
O=C(Cc1n[nH]c(Cl)c1CN1CCCCC1)c1ccccc1Cl	351.091	4.128	48.990	3.000	1.000	5.000
CCC(=O)CCc1c[nH]c2ccc(C3=CCNCC3)c(Cl)c12	316.134	4.110	44.890	2.000	2.000	5.000
Cc1[nH]c(CCc2cc(Cl)cc(Br)c2)nc1CN	327.014	3.378	54.700	2.000	2.000	4.000
CC1(C)OC(c2cccc(C(=O)NC3CCCC3)c2)NC2CC1C2	328.215	3.535	50.360	3.000	2.000	3.000
Nc1nccc(CCNC(=O)Nc2cccc(C(F)(F)F)c2)c1Cc1ccc(Cl)cc1	448.128	5.291	80.040	3.000	3.000	6.000
CNC(=O)CCC(=O)NC1=CC=C2CC(C)=CN=C1c1ccccc12	335.163	2.707	70.560	3.000	2.000	4.000
CCOC(=O)C(c1ccc(Br)nc1)c1cc(Br)c(F)c(F)c1O	448.907	4.285	59.420	4.000	1.000	4.000
CNC1CCC(C(=O)Oc2cccc(C)c2)CC1c1ccccc1	323.189	4.072	38.330	3.000	1.000	4.000
CNN(CC(=O)Nc1ccc(C)cc1C)c1cc(F)c(F)cc1F	337.140	3.300	44.370	3.000	2.000	5.000
CC(CNC(=O)C1CCCC1)(C(=O)c1ccccc1)C1CCC1	313.204	3.982	46.170	2.000	1.000	6.000
CC(C)n1c(Cl)c2ccccc2c1SCc1ccccc1	315.085	6.168	4.930	2.000	0.000	4.000
O=C(Nc1cccc(Br)c1)N1CCC2CCCCC21	322.068	4.246	32.340	1.000	1.000	1.000
NC(=O)Cc1ccc(C2(c3ccc(Br)cc3)CN(C(F)(F)F)C2=O)cc1	426.019	3.125	63.400	2.000	1.000	4.000
CC(=O)c1ccc(NC(S)(C(=O)NCC2CCCC2)c2ccc(F)c(F)c2)c(C)c1	432.168	4.977	58.200	4.000	3.000	7.000
O=C(Nc1ccccc1-c1ccccc1)N1CCC(Oc2ccccc2)C1	358.168	5.039	41.570	2.000	1.000	4.000
COCC1CCN(C(=O)N2CCc3cc(Br)c(Cl)cc32)CC1C	400.055	4.189	32.780	2.000	0.000	2.000
CCN(CC)C(=O)c1c[nH]c(-c2c[nH]c3cc(Br)ccc23)c1	359.063	4.408	51.890	1.000	2.000	4.000
O=C1C(=C2NCCc3c(Cl)ccc(Cl)c32)N2CCCC(c3ccccc3)C12	398.095	4.639	32.340	3.000	1.000	1.000
Cc1cc(C2CCC2(Cn2ccnc2)C2(C)CCC2Cc2ccccc2)c[nH]1	373.252	5.743	33.610	2.000	1.000	6.000
N#CC1CCCN1C(=O)C1CCC2CCC3C(CCc4ccc(F)cc4)CCC3NC2CC1	451.300	5.226	56.130	3.000	1.000	4.000
O=C1CN(C2C=C(c3ccccc3Cl)C=C(O)C=C(F)C2(F)F)CCC12CCNCC2	452.148	4.681	52.570	4.000	2.000	2.000
CNC(=O)c1ccc2[nH]c(C3CCNCC3)c-2c2ccc(F)cc12	325.159	3.238	56.920	2.000	3.000	2.000
CC(C)=CCc1c(Cl)ccc2[nH]c(-c3cc(C)cc(N)c3)cc12	324.139	5.888	41.810	1.000	2.000	3.000
O=C(NCc1c[nH]c2ccc(F)cc12)NC1CCCC(C(F)(F)F)C1	357.146	4.227	56.920	1.000	3.000	3.000
CSC1=C2CCCCC3=C(N2)C(=CC(F)=C1F)CNC3=O	310.095	3.199	41.130	3.000	2.000	1.000
O=C(O)c1cc(C#Cc2ccccc2Cl)ccc1Br	333.940	4.201	37.300	1.000	1.000	1.000
COC(=CCc1cnc(Br)c(Cl)c1)CCN	303.998	2.919	48.140	3.000	1.000	5.000
CN(Cc1c[nH]c2cc(F)ccc12)c1ccccc1Br	332.032	4.706	19.030	1.000	1.000	3.000
N#CC(=Cc1cccc(C(F)(F)F)c1)NCC(F)c1ccccc1F	352.100	5.009	35.820	2.000	1.000	5.000
O=C1Cc2ccccc2CN1CCC1CCCC2CCCCC21	311.225	4.568	20.310	1.000	0.000	3.000
Cc1ccccc1SN1c2ccccc2CC(N(C)C)CC2CCCN(C)CC21	409.255	5.096	9.720	4.000	0.000	3.000
CNC(=O)CCCCN1C(=O)C(=CC(F)F)c2cc(Cl)cc(F)c21	360.085	3.391	49.410	2.000	1.000	6.000
O=C(NC(=S)c1cccc2c1C(c1cccc(C(F)(F)F)c1)CCC2)c1ccccc1	439.122	6.279	29.100	2.000	1.000	3.000
NS(=O)(=O)c1ccc(-c2nc3cc(Cl)ccc3s2)c2cccc(Cl)c12	407.956	5.071	73.050	4.000	1.000	2.000
N#CC(Nc1cccc(Br)c1)C(Br)c1ccccc1	377.937	4.889	35.820	2.000	1.000	4.000
CN(C)c1ccccc1-c1ccccc1NC(=O)c1ccccc1	316.158	4.672	32.340	2.000	1.000	4.000
CC(=O)N1CCN2CC(c3cc(Br)ccc3N3CCCCC3)CC2C1	405.142	3.459	26.790	3.000	0.000	2.000
C=C(C)c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2O)cc1	329.142	5.345	49.330	2.000	2.000	4.000
CC1CCN(Cc2cnc(-c3ccc(Br)cc3)n3c(F)ccc23)CC1	401.090	5.135	20.540	3.000	0.000	3.000
CCc1csc(S(C)(=O)=O)c1CCC1CCc2ccccc2C1	348.122	4.452	34.140	3.000	0.000	5.000
CNC(=O)c1ccccc1C1=CC=C(CN2C=CC(c3ccc(F)cc3)C2)C1	374.179	4.512	32.340	2.000	1.000	5.000
CC1(Nc2ccc(C(F)(F)F)cc2)CC2C3=NC(C(F)(F)F)C(=O)C=C3NCC21	417.128	3.954	53.490	4.000	2.000	2.000
CC(C)Nc1ccc(CC(C)n2c(=O)[nH]c3cc(Cl)ccc32)cc1	343.145	4.607	49.820	3.000	2.000	5.000
CC(C)(C)C1=C(C(=O)N2CCC(F)(F)C2)C(=O)c2ccc(-c3ccc(F)cc3F)cc21	431.151	5.495	37.380	2.000	0.000	2.000
Cc1ccc(C(F)(F)F)cc1NC(=O)Nc1ccc2ccsc2c1	350.070	5.873	41.130	2.000	2.000	2.000
CNCC1CCc2ccccc2C(NC(=O)Nc2ccc(Cl)cc2)C(C(F)(F)F)C1	439.164	5.553	53.160	2.000	3.000	4.000
CCC1=NC(c2c[nH]c3ccccc23)=C1CN1CCCCCC1	307.205	4.620	31.390	2.000	1.000	4.000
O=C(NCCC1CCN(c2c[nH]c3ccccc23)CC1)Nc1ccc(Br)cc1	440.121	5.359	60.160	2.000	3.000	5.000
CC1=CSC(=NNc2nc(C)c(-c3ccc(Br)cc3)s2)C1C	392.997	5.893	37.280	5.000	1.000	3.000
CC(=O)N1Cc2cc(Br)c(-c3ccc(Br)cc3)c(Cl)c2N1C	441.908	5.245	23.550	2.000	0.000	1.000
Cc1ccccc1C1Cc2ccc(C(=O)NCCc3ccccc3)cc2C(c2ccc[nH]2)C1	434.236	6.158	44.890	1.000	2.000	6.000
CCN1C(=O)CC2CC(NC(=O)C3CCCC3c3ccccc3)CCC21	354.231	3.476	49.410	2.000	1.000	4.000
CC(=Cc1cc(Cl)ccc1CCN1CC(C(=O)O)CC(C)(C)C1)c1cc(F)cc(F)c1	447.178	6.154	40.540	2.000	1.000	6.000
Cc1ccc2c(c1)CNC1CCNCC1c1ccc3c(c1)CCCC32	332.225	4.012	24.060	2.000	2.000	0.000
CN1C2=C(CCO2)CC2=CC(CNC(=O)CCc3ccc(F)cc3)=C21	340.159	3.036	41.570	3.000	1.000	5.000
CNC(C)C1=CC=C(C(=O)NC2CCc3ccc(-c4ccccc4)cc3C(C)C2)C(O)C1	430.262	4.504	61.360	3.000	3.000	5.000
O=C(Cc1ccc2c(c1)CCCC2)C(NCC1CC1)c1ccc(Cl)cc1	367.170	5.071	29.100	2.000	1.000	7.000
CCC(NC(=O)CCc1cc(N)cc(Cl)c1)NC12CC3CC(CC(C(C)(C)C)C3)C1C2	445.286	5.538	67.150	3.000	3.000	7.000
CN(CC1CCC(c2ccc(Cl)cc2)CC1=O)c1ccc(O)cc1	343.134	4.635	40.540	3.000	1.000	4.000
CC(=O)NCc1cccc2ccc3c(c12)CCN(CCc1ccccc1)C3	358.205	4.077	32.340	2.000	1.000	5.000
CCc1cc(N)c(-c2ccccc2Cl)c2cc(Cl)ccc12	315.058	5.958	26.020	1.000	1.000	2.000
[NH]c1c(C(=O)N2CCCC2=O)cc(NC2CCCC2)c2ccccc12	336.171	3.871	73.210	3.000	1.000	3.000
NCC1=CC=C2NC=C(c3cncc4ccccc34)C2CN1CC1CC1	344.200	3.247	54.180	4.000	2.000	4.000
CCCN1C(C(=O)NC)CN1C(=O)CCc1c[nH]c2ccccc12	328.190	1.684	68.440	3.000	2.000	6.000
CC1=CC=C(NC(=O)NC2CCCCC2)C(CN2CCN(c3ccccc3C(F)(F)F)CC2)C1	476.276	5.309	47.610	3.000	2.000	5.000
O=C(Nc1cccc(O)c1)NC1CCC(c2ccc(F)cc2)C1	314.143	3.989	61.360	2.000	3.000	3.000
Cc1nc(NCCc2ccc(F)cc2)c2cc1CCN(C(F)F)C=C2	347.161	4.235	28.160	3.000	1.000	5.000
COc1cccc(N2N=C(C(F)(F)F)CC2C(=O)NC2CC3(C)CCC(C(C)(C)C)C23)c1	451.245	5.159	53.930	4.000	1.000	4.000
